strain,E0_meV,E1_meV,E2_meV,E3_meV,E4_meV,E5_meV
0,-12.625,2.375,2.375,2.625,2.625,2.625
-0.001,-7.1815921,2.6474,8.5689254,14.120067,14.3722,14.3722
-0.002,-5.1509768,2.6698,18.175643,25.865133,26.1194,26.1194
-0.003,-4.3510055,2.6922,29.013005,37.6102,37.8666,37.8666
-0.004,-3.9589111,2.7146,40.258244,49.355267,49.6138,49.6138
-0.005,-3.7360439,2.737,51.672711,61.100333,61.361,61.361
-0.006,-3.5974159,2.7594,63.171416,72.8454,73.1082,73.1082
-0.007,-3.5063434,2.7818,74.717677,84.590467,84.8554,84.8554
-0.008,-3.4446186,2.8042,86.293285,96.335533,96.6026,96.6026
-0.009,-3.4022343,2.8266,97.888234,108.0806,108.3498,108.3498
-0.01,-3.3732522,2.849,109.49659,119.82567,120.097,120.097
